epoch,train_loss,train_cc,train_ortho,val_loss,val_cc,val_kld,val_ortho,val_entropy,lr,time_sec
1,-0.72959,0.94381,0.13510,-0.38826,0.85638,0.70680,0.00005,1.98176,0.00099901,1743.7
2,-0.85536,0.98235,0.00030,-0.38224,0.84999,0.70541,0.00001,1.97470,0.00099606,1667.8
3,-0.86261,0.98541,0.00009,-0.39327,0.85660,0.69734,0.00001,1.97830,0.00099115,1696.8
4,-0.86559,0.98683,0.00004,-0.36132,0.85935,0.75671,0.00000,1.97944,0.00098431,1842.6
5,-0.86757,0.98773,0.00003,-0.35653,0.86077,0.76903,0.00000,1.97843,0.00097555,1863.5
6,-0.86882,0.98832,0.00002,-0.33616,0.86669,0.82171,0.00000,1.98026,0.00096492,1746.2
7,-0.86985,0.98880,0.00002,-0.38694,0.86923,0.72512,0.00000,1.97849,0.00095246,1706.1
8,-0.87052,0.98910,0.00002,-0.31167,0.86161,0.86046,0.00000,1.97961,0.00093822,1706.7
9,-0.87109,0.98938,0.00002,-0.35253,0.86488,0.78529,0.00000,1.98103,0.00092224,1708.3
10,-0.87136,0.98953,0.00002,-0.29236,0.86363,0.90312,0.00000,1.97760,0.00090460,1714.0
11,-0.87183,0.98975,0.00002,-0.36492,0.86415,0.75899,0.00000,1.98446,0.00088537,1720.8
12,-0.87190,0.98981,0.00002,-0.33552,0.87011,0.82969,0.00000,1.98062,0.00086462,1722.8
13,-0.87234,0.99000,0.00002,-0.32664,0.86344,0.83414,0.00000,1.98056,0.00084243,1726.1
14,-0.87252,0.99008,0.00002,-0.21451,0.85004,1.03158,0.00000,1.98129,0.00081889,1735.5
15,-0.87252,0.99011,0.00002,-0.28951,0.86659,0.91467,0.00000,1.98180,0.00079410,1818.1
16,-0.87282,0.99025,0.00002,-0.27432,0.86310,0.93809,0.00000,1.97790,0.00076815,1736.2
17,-0.87302,0.99033,0.00002,-0.26280,0.85811,0.95115,0.00000,1.97956,0.00074114,1741.3
18,-0.87312,0.99039,0.00002,-0.28079,0.86084,0.92062,0.00000,1.98136,0.00071318,1745.8
19,-0.87318,0.99042,0.00002,-0.29726,0.86170,0.88941,0.00000,1.97927,0.00068438,1761.8
20,-0.87336,0.99051,0.00002,-0.28131,0.85821,0.91433,0.00000,1.97979,0.00065485,1767.2
21,-0.87341,0.99054,0.00002,-0.25933,0.84614,0.93414,0.00000,1.98238,0.00062472,1769.6
22,-0.87346,0.99056,0.00002,-0.28406,0.86368,0.91978,0.00000,1.97863,0.00059410,1771.4
23,-0.87363,0.99065,0.00003,-0.27950,0.86157,0.92467,0.00000,1.97972,0.00056310,1781.9
24,-0.87366,0.99066,0.00003,-0.25745,0.85322,0.95206,0.00000,1.97970,0.00053186,1905.6
25,-0.87372,0.99070,0.00003,-0.31182,0.85498,0.84687,0.00000,1.98048,0.00050050,1873.5
26,-0.87370,0.99071,0.00003,-0.25823,0.86317,0.97041,0.00000,1.98089,0.00046914,1917.2
27,-0.87389,0.99077,0.00003,-0.26625,0.85649,0.94101,0.00000,1.97886,0.00043790,1952.2
28,-0.87387,0.99078,0.00003,-0.25665,0.86677,0.98078,0.00000,1.97831,0.00040690,1859.5
29,-0.87399,0.99083,0.00003,-0.28223,0.86091,0.91788,0.00000,1.98025,0.00037628,1817.1
30,-0.87402,0.99085,0.00003,-0.24032,0.85979,0.99947,0.00000,1.98257,0.00034615,1864.4
31,-0.87409,0.99089,0.00003,-0.24791,0.85523,0.97518,0.00000,1.97974,0.00031662,1960.8
32,-0.87415,0.99091,0.00003,-0.26076,0.86090,0.96083,0.00000,1.97911,0.00028782,1953.6
33,-0.87420,0.99093,0.00003,-0.23835,0.86032,1.00448,0.00000,1.98098,0.00025986,1890.2
31,-0.87410,0.99088,0.00003,-0.23788,0.85979,1.00434,0.00000,1.98166,0.00034581,1893.9
32,-0.87408,0.99088,0.00003,-0.30161,0.85315,0.86361,0.00000,1.97890,0.00034479,1795.3
33,-0.87409,0.99089,0.00003,-0.26480,0.86088,0.95270,0.00000,1.97929,0.00034309,1907.4
34,-0.87415,0.99091,0.00003,-0.27897,0.85261,0.90781,0.00000,1.97944,0.00034072,1972.5
35,-0.87414,0.99091,0.00003,-0.25975,0.85878,0.95860,0.00000,1.97912,0.00033770,1879.0
36,-0.87415,0.99092,0.00003,-0.28414,0.85878,0.90980,0.00000,1.98009,0.00033403,1924.5
37,-0.87418,0.99092,0.00003,-0.25585,0.85866,0.96614,0.00000,1.98000,0.00032972,1826.9
38,-0.87421,0.99094,0.00003,-0.27053,0.85933,0.93814,0.00000,1.98029,0.00032480,1710.2
39,-0.87421,0.99095,0.00003,-0.26518,0.86164,0.95344,0.00000,1.98082,0.00031928,1719.4
40,-0.87422,0.99095,0.00003,-0.24659,0.85958,0.98651,0.00000,1.97902,0.00031319,1702.7
41,-0.87420,0.99095,0.00003,-0.28169,0.85118,0.89952,0.00000,1.97990,0.00030654,1692.5
42,-0.87419,0.99094,0.00002,-0.24520,0.86000,0.99011,0.00000,1.97944,0.00029937,1727.7
41,-0.87423,0.99095,0.00003,-0.21846,0.85489,1.03340,0.00000,1.98049,0.00031288,1954.6
42,-0.87423,0.99095,0.00002,-0.25792,0.85881,0.96232,0.00000,1.97867,0.00031196,1927.1
43,-0.87427,0.99097,0.00003,-0.25680,0.85476,0.95645,0.00000,1.97979,0.00031042,1927.0
44,-0.87427,0.99097,0.00003,-0.23689,0.85948,1.00572,0.00000,1.97969,0.00030828,1945.5
45,-0.87426,0.99097,0.00003,-0.24026,0.86065,1.00132,0.00000,1.97955,0.00030555,1994.9
